Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
71.35,2.011794
71.4,1.970468
71.45,1.657421
71.5,1.486156
71.55,1.542061
71.6,1.440358
71.65,1.41038
71.7,1.534728
71.75,1.474077
71.8,1.573253
71.85,1.79662
71.9,1.789409
71.95,1.519097
72,1.407427
72.05,1.519736
72.1,1.735137
72.15,1.824493
72.2,1.793258
72.25,1.508591
72.3,1.194666
72.35,0.997244
72.4,1.040903
72.45,1.098859
72.5,1.161131
72.55,1.212625
72.6,1.085092
72.65,1.127073
72.7,1.239466
72.75,1.254616
72.8,1.195338
72.85,1.027849
72.9,1.020452
72.95,1.101619
73,1.184537
73.05,1.28058
73.1,1.356071
73.15,1.328541
73.2,1.15132
73.25,1.130281
73.3,0.966832
73.35,0.8164541
73.4,0.8377252
73.45,1.094995
73.5,1.364985
73.55,1.634927
73.6,1.632614
73.65,1.361618
73.7,1.006131
73.75,0.9797011
73.8,1.077618
73.85,1.094671
73.9,1.150249
73.95,1.184704
74,1.229908
74.05,1.038962
74.1,1.046172
74.15,0.8379596
74.2,0.6168717
74.25,0.8403842
74.3,0.9585276
74.35,1.158708
74.4,1.337493
74.45,1.410338
74.5,1.202804
74.55,0.8468395
74.6,0.8817411
74.65,0.978277
74.7,1.102926
74.75,1.256412
74.8,1.355193
74.85,1.327255
74.9,1.221497
74.95,1.283587
75,1.128859
75.05,0.9038777
75.1,0.8806929
75.15,0.9702929
75.2,1.104832
75.25,1.239291
75.3,1.279405
75.35,1.132336
75.4,0.8066305
75.45,0.909281
75.5,0.9731835
75.55,0.9325828
75.6,0.9795779
75.65,1.114083
75.7,1.098621
75.75,0.9072092
75.8,0.9883454
75.85,0.8676181
75.9,0.7796047
75.95,0.9406858
76,1.000388
76.05,1.160595
76.1,1.299518
76.15,1.496699
76.2,1.398828
76.25,1.231698
76.3,1.470127
76.35,2.248323
76.4,4.128918
76.45,8.299082
76.5,16.86951
76.55,33.07471
76.6,61.74903
76.65,104.2975
76.7,159.1907
76.75,220.4041
76.8,280.4173
76.85,327.9167
76.9,349.6829
76.95,343.7579
77,312.0726
77.05,262.4167
77.1,207.003
77.15,154.6093
77.2,111.4142
77.25,78.38571
77.3,54.70604
77.35,38.91648
77.4,29.73715
77.45,24.76889
77.5,21.49582
77.55,19.2799
77.6,17.22509
77.65,15.81064
77.7,14.65551
77.75,13.55473
77.8,12.69386
77.85,11.95352
77.9,11.09401
77.95,9.994814
78,9.200928
78.05,8.149865
78.1,7.236979
78.15,6.595646
78.2,6.219782
78.25,5.895033
78.3,5.519366
78.35,5.247409
78.4,4.549953
78.45,3.9229
78.5,3.58415
78.55,3.426873
78.6,3.49241
78.65,3.466141
78.7,3.391281
78.75,3.270406
78.8,3.003512
78.85,2.837685
78.9,2.820126
78.95,2.774121
79,2.652214
79.05,2.661899
79.1,2.400008
79.15,2.190296
79.2,2.449461
79.25,2.445392
79.3,2.140868
79.35,1.937604
79.4,1.485842
79.45,1.356951
79.5,1.577713
79.55,1.771314
79.6,1.8132
79.65,1.699976
79.7,1.775756
79.75,1.742539
79.8,1.65822
79.85,1.535681
79.9,1.555822
79.95,1.590711
80,1.524272
80.05,1.777566
80.1,1.659086
80.15,1.440163
80.2,1.219795
80.25,1.101932
80.3,1.344907
80.35,1.645412
80.4,2.041184
80.45,1.983422
